Reference, Value, Footprint, Datasheet
U8,NE5534,Housings_DIP:DIP-8_W7.62mm_LongPads,
U7,LM358,Housings_DIP:DIP-8_W7.62mm_LongPads,
R24,100K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R25,3.32K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C10,0.022 5%,Capacitors_ThroughHole:C_Disc_D6_P5,
C21,0.1,Capacitors_ThroughHole:C_Disc_D6_P5,
R22,3K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R21,1.5K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
Q2,IRF9640,TO_SOT_Packages_THT:TO-220_Neutral123_Vertical_LargePads,
P7,COIL,Pin_Headers:Pin_Header_Straight_1x02,
U4,ICL7660,Housings_DIP:DIP-8_W7.62mm_LongPads,
P4,POWER_SW,Pin_Headers:Pin_Header_Straight_1x02,
P3,BATT_CONN,Pin_Headers:Pin_Header_Straight_1x02,
D5,1N4001,Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10,
C9,220x10V,Capacitors_ThroughHole:C_Radial_D7.5_L11.2_P2.5,
R23,10K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
D6,1N5819,Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10,
C8,220x10V,Capacitors_ThroughHole:C_Radial_D7.5_L11.2_P2.5,
R41,1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R40,360*,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
D8,1N4148,Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10,
D7,1N4148,Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10,
R42,1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C19,100pF,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C11,220x10V,Capacitors_ThroughHole:C_Radial_D7.5_L11.2_P2.5,
R43,100K,Potentiometers:Potentiometer_VishaySpectrol-Econtrim-Type36k,
R45,22K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R44,1M,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C22,0.1,Capacitors_ThroughHole:C_Disc_D6_P5,
C20,100pF,Capacitors_ThroughHole:C_Disc_D3_P2.5,
R37,1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C16,0.1,Capacitors_ThroughHole:C_Disc_D6_P5,
R36,1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R20,10K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R39,475K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C18,0.22,Capacitors_ThroughHole:C_Disc_D6_P5,
C17,0.22,Capacitors_ThroughHole:C_Disc_D6_P5,
R38,475K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C15,0.1,Capacitors_ThroughHole:C_Disc_D6_P5,
P6,GAIN,Pin_Headers:Pin_Header_Straight_1x03,
R33,220K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C14,0.047,Capacitors_ThroughHole:C_Disc_D6_P5,
P5,THRES,Pin_Headers:Pin_Header_Straight_1x03,
R29,2K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R32,47K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R31,47K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R34,1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R35,22K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
D3,1N4148,Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10,
R11,5.1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R26,51K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R28,240K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R30,10K,Potentiometers:Potentiometer_VishaySpectrol-Econtrim-Type36k,
C6,0.001,Capacitors_ThroughHole:C_Disc_D6_P5,
C2,0.001,Capacitors_ThroughHole:C_Disc_D6_P5,
C13,0.001,Capacitors_ThroughHole:C_Disc_D6_P5,
R27,51K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C12,0.001,Capacitors_ThroughHole:C_Disc_D6_P5,
R13,1K,Potentiometers:Potentiometer_VishaySpectrol-Econtrim-Type36k,
P2,PHONES,Pin_Headers:Pin_Header_Straight_1x02,
C1,100pF,Capacitors_ThroughHole:C_Disc_D3_P2.5,
R18,150R,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R16,100K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
Q3,2N3906,TO_SOT_Packages_THT:TO-92_Rugged,
C7,1000x25V,Capacitors_ThroughHole:C_Radial_D13_L21_P5,
Q1,MPSA13,TO_SOT_Packages_THT:TO-92_Rugged,
U3,LM78L05ACZ,TO_SOT_Packages_THT:TO-92_Rugged,
U2,4066,Housings_DIP:DIP-14_W7.62mm_LongPads,
U6,4093,Housings_DIP:DIP-14_W7.62mm_LongPads,
U5,LM555N,Housings_DIP:DIP-8_W7.62mm_LongPads,
